argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl 
42000 2.26676356792 2.28393054008 2.34194755554 2.27303040028 2.29720342159 2.30487263203 2.29311442375 2.3359875679 2.33606755733 2.27804255486 
42500 2.27024388313 2.30556643009 2.30818450451 2.29064357281 2.37695145607 2.39380645752 2.31870639324 2.33540391922 2.32400202751 2.33463656902 
43000 2.32521605492 2.3081818819 2.29448735714 2.32417404652 2.43313550949 2.32511639595 2.34820044041 2.54686045647 2.34533596039 2.32514512539 
43500 2.3820400238 2.38451302052 2.56897354126 2.3446764946 2.34522747993 2.34639835358 2.40458846092 2.35902607441 2.37463700771 2.36875092983 
44000 2.38226509094 2.37728345394 2.38314545155 2.36453998089 2.39280498028 2.41055846214 2.41781747341 2.40443789959 2.39237344265 2.39608299732 
44500 2.48910999298 2.50421357155 2.44744944572 2.47729456425 2.4955034256 2.56532287598 2.68448901176 2.50798547268 2.44828259945 2.50455307961 
45000 2.43792796135 2.42754209042 2.41921293736 2.45206141472 2.40906596184 2.43924188614 2.54563200474 2.44977355003 2.48943197727 2.4527579546 
45500 2.48090803623 2.50223350525 2.50615954399 2.49015760422 2.48315393925 2.49241662025 2.52850949764 2.49036288261 2.50426399708 2.60263550282 
46000 2.50784707069 2.51679301262 2.57477259636 2.53272557259 2.51493000984 2.52313709259 2.54036903381 2.50849747658 2.57349407673 2.50269198418 
46500 2.56621849537 2.62634837627 2.58373093605 2.57299041748 2.54273998737 2.58559155464 2.53433549404 2.54782450199 2.56185007095 2.55971312523 
47000 2.59887802601 2.63456296921 2.68557786942 2.64320790768 2.665163517 2.64813649654 2.61802351475 2.6891065836 2.76070797443 2.79349887371 
47500 2.61675643921 2.58266401291 2.637789011 2.70151650906 2.56180500984 2.57590150833 2.56503045559 2.58958935738 2.60321247578 2.62423157692 
48000 2.70909249783 2.63246059418 2.83767044544 2.73627245426 2.80793404579 2.73536396027 2.62879943848 2.69068002701 2.66357159615 2.65173006058 
48500 2.68259561062 2.90905797482 2.80126452446 2.69161403179 2.76090741158 2.7241410017 2.71469593048 2.71132600307 2.69054150581 2.75028598309 
49000 2.67060554028 2.66992139816 2.70542013645 2.68671703339 2.6944899559 2.78601300716 2.69670116901 2.7025386095 2.67027854919 2.74214804173 
49500 2.74349153042 2.83258056641 2.76504743099 2.74826192856 2.77086961269 2.79202902317 2.88998305798 2.80701994896 2.78650557995 2.85673439503 
50000 2.85706603527 2.86445498466 2.82778191566 2.85942041874 2.90552902222 2.84835004807 2.94370305538 2.85711598396 2.87518155575 2.96339511871 
